ticker,model,fold_id,n_train,n_test,alpha,intercept,coef_abs_sum,coef_abs_max,pred_sd_over_train_sd,C,p_up_mean,p_up_sd,single_class
KO,Logistic (direction),7,2772,252,,0.08708985090904904,0.350535480605656,,,0.001,0.5171851907723805,0.02862984379159105,False
KO,Logistic (direction),8,3024,252,,0.10368440509606154,0.3248431687625622,,,0.001,0.5317959309236826,0.03204496153893498,False
KO,Logistic (direction),9,3276,252,,0.10263205091567172,0.08823536425078304,,,0.0001,0.5263245579261405,0.009462139926444239,False
KO,Logistic (direction),10,3528,252,,0.10213103011100887,0.0841553545584563,,,0.0001,0.5244264902249676,0.010093243150379929,False
KO,Logistic (direction),11,3780,252,,0.10461040815367716,0.0754066276428734,,,0.0001,0.5268908366350794,0.00822502865810887,False
WMT,Ridge (returns),0,1008,252,1000.0,0.00038536567413852303,0.004313809578777839,0.0004723083118725595,0.1217835001695414,,,,
WMT,Ridge (returns),1,1260,252,1000.0,0.0004059456226709321,0.004270327051365078,0.000417889797869024,0.16848083782488427,,,,
WMT,Ridge (returns),2,1512,252,10000.0,0.00022389554877030982,0.0008580195954027071,0.0001187727176279658,0.02642347372766283,,,,
WMT,Ridge (returns),3,1764,252,10000.0,0.00022825429267285427,0.0009324899016387288,9.775621799961015e-05,0.04583469960124655,,,,
WMT,Ridge (returns),4,2016,252,100000.0,0.00032288007877541143,0.00014132655363135395,1.2349825805261583e-05,0.005910614437671204,,,,
WMT,Ridge (returns),5,2268,252,10000.0,0.000350183409277323,0.0011650091627793066,0.00012683720553265278,0.04974732390406014,,,,
WMT,Ridge (returns),6,2520,252,10000.0,0.0003987046611060976,0.0019608374769056348,0.0002592041772272608,0.09325927236947014,,,,
WMT,Ridge (returns),7,2772,252,1000.0,0.0004036707823786333,0.006538789001176795,0.0006940561769993214,0.11494987794118842,,,,
WMT,Ridge (returns),8,3024,252,1000.0,0.00040786362599010004,0.006666825593124716,0.0006214044192132851,0.15973916317990683,,,,
WMT,Ridge (returns),9,3276,252,10000.0,0.0003705986098777635,0.0019332344065591874,0.00023743491340227256,0.03888740981051167,,,,
WMT,Ridge (returns),10,3528,252,10000.0,0.00042537603527672196,0.0019381660903377842,0.0002346645877891645,0.060464188644777865,,,,
WMT,Ridge (returns),11,3780,252,10000.0,0.0004850750766013019,0.0017565252480386273,0.00022421385839818604,0.06874641303447937,,,,
WMT,Logistic (direction),0,1008,252,,0.13963196069794476,0.3197890092815106,,,0.001,0.5301928668515675,0.024790776808415516,False
WMT,Logistic (direction),1,1260,252,,0.12773200634177187,0.3424625599987768,,,0.001,0.5497291435135678,0.0345298152760136,False
WMT,Logistic (direction),2,1512,252,,0.09308232199129818,0.30921288643910894,,,0.001,0.518199990475288,0.021531338643181477,False
WMT,Logistic (direction),3,1764,252,,0.08659319886271788,0.31782114910289844,,,0.001,0.5128292610446622,0.026676580203697148,False
